neighbourhood_group,neighbourhood,avg_price,avg_availability,avg_reviews,popularity_score,listing_count,log_avg_price,log_popularity,price_norm,availability_norm,popularity_norm,value_score,value_category,value_rank,justification
Queens,Richmond Hill,87.11702127659575,194.93617021276594,34.361702127659576,13.137919478436691,94,4.47866571832826,2.648860512332677,0.05285698132408646,0.5340716992130574,0.2904938483853403,1.0149653739999118,Undervalued,1.0,"lower-than-average price, higher availability, strong demand"
Queens,Springfield Gardens,94.23529411764706,204.01176470588234,69.09411764705882,9.25601449326051,85,4.556350609621419,2.3278643133267414,0.06231438545302975,0.5589363416599517,0.20466065995235333,0.7047575003053711,Undervalued,2.0,"lower-than-average price, higher availability, strong demand"
Queens,South Ozone Park,82.4,226.1,48.675,6.275536165526233,40,4.423648309364701,1.9845175100705565,0.04658990256864483,0.6194520547945206,0.13875900627928195,0.5863606568719585,Undervalued,3.0,"lower-than-average price, higher availability, strong demand"
Staten Island,Tompkinsville,76.19047619047619,209.42857142857142,57.142857142857146,5.029533185885303,42,4.346276084012253,1.7966695924663079,0.038339870935087936,0.5737769080234834,0.11120851008012542,0.4612471778986497,Undervalued,4.0,"lower-than-average price, higher availability, strong demand"
Brooklyn,Brownsville,76.45901639344262,121.32786885245902,31.34426229508197,6.296626243838585,61,4.349748975754532,1.9874120829479704,0.03869665597003005,0.33240512014372336,0.13922533110504745,0.3336721609425327,Undervalued,5.0,"lower-than-average price, higher availability, strong demand"
Bronx,Port Morris,79.8913043478261,152.17391304347825,20.608695652173914,4.797804253733813,46,4.393106331857528,1.757479268931586,0.04325682597142527,0.4169148302561048,0.10608472854124495,0.3087343049284094,Undervalued,6.0,"lower-than-average price, strong demand"
Bronx,Longwood,91.91935483870968,154.2258064516129,26.661290322580644,4.916069768711677,62,4.531731964687292,1.777672338002759,0.05923740678305095,0.42253645603181617,0.10869970914251759,0.2884346762525731,Undervalued,7.0,strong demand
Queens,Rosedale,76.69491525423729,177.94915254237287,28.35593220338983,3.6400992578807396,59,4.352789814488856,1.5347357577940053,0.03901007341129843,0.48753192477362434,0.08048659787129572,0.2822801615432006,Undervalued,8.0,"lower-than-average price, higher availability, strong demand"
Queens,East Elmhurst,81.18378378378378,169.4918918918919,81.65945945945946,3.7488682077229596,185,4.408958005030814,1.5579063175969288,0.04497402628492088,0.4643613476490189,0.08289159897336203,0.26550724701819245,Undervalued,9.0,"lower-than-average price, higher availability, strong demand"
Bronx,Wakefield,85.58,197.7,25.58,3.2257562503430823,50,4.461068842013835,1.4411982389556361,0.050814880425155,0.5416438356164384,0.07132501829176457,0.25616011081967666,Undervalued,10.0,"higher availability, strong demand"
Brooklyn,Borough Park,63.06617647058823,168.3235294117647,16.41176470588235,2.5097632358023927,136,4.159916556495235,1.255548581015286,0.020902803105298795,0.46116035455278,0.055493625311139064,0.21166969885400796,Undervalued,11.0,"lower-than-average price, higher availability"
Queens,Jackson Heights,80.89784946236558,150.27956989247312,27.20967741935484,3.195162668093009,186,4.4054727324235,1.4339321158284015,0.04459413126089315,0.4117248490204743,0.0706485605422477,0.20116838539101783,Undervalued,12.0,"lower-than-average price, strong demand"
Queens,Sunnyside,84.86501377410468,125.70798898071625,22.231404958677686,3.7424271622737306,363,4.452776455851636,1.5565490642006508,0.04986494301253944,0.3444054492622363,0.08274918037479759,0.19016634624602907,Undervalued,13.0,"lower-than-average price, strong demand"
Queens,Fresh Meadows,99.5,137.96875,32.65625,3.8277383195954244,32,4.61015772749913,1.5743781011854825,0.06930912311780338,0.3779965753424658,0.08463550388600966,0.18895573984537137,Undervalued,14.0,strong demand
Queens,Flushing,93.51408450704226,166.2511737089202,34.78403755868545,2.894657588098861,426,4.548748865796545,1.3596057648290418,0.06135617959305879,0.45548266769567175,0.06400406273647855,0.18067322436671318,Undervalued,15.0,"lower-than-average price, strong demand"
Queens,Briarwood,105.875,177.92857142857142,22.267857142857142,2.8344188514675435,56,4.671659927256925,1.3440178852572973,0.07777900797165632,0.4874755381604696,0.06267211802067908,0.17184888591940975,Undervalued,16.0,"higher availability, strong demand"
Bronx,Concourse Village,73.78125,159.53125,25.21875,2.318207162860749,32,4.314567185108647,1.1994246258833225,0.03513895039858281,0.4370719178082192,0.05125810987037748,0.16578107435489775,Undervalued,17.0,"lower-than-average price, strong demand"
Queens,Rego Park,83.87735849056604,133.56603773584905,25.9811320754717,2.9040671934423297,106,4.441207373305051,1.362018879837754,0.04855273492989287,0.36593434996123025,0.06421211945904393,0.15817561490851945,Undervalued,18.0,"lower-than-average price, strong demand"
Bronx,Mott Haven,88.91666666666667,146.93333333333334,42.36666666666667,2.6154165850814333,60,4.498883315470135,1.2852070868915242,0.05524800708591675,0.4025570776255708,0.05782973705830294,0.14995213392441298,Undervalued,19.0,strong demand
Brooklyn,Bedford-Stuyvesant,107.67824448034465,116.63462574044158,29.7124394184168,3.79821777790204,3714,4.688391631320807,1.5682445526959095,0.08017481551861555,0.31954691983682626,0.08398277224330121,0.14894665557147127,Undervalued,20.0,"lower-than-average price, higher availability, strong demand"
Brooklyn,Prospect-Lefferts Gardens,110.40186915887851,95.11028037383177,26.263551401869158,4.598330433168612,535,4.713144106157435,1.722468416355276,0.08379344883819112,0.2605761106132377,0.1016741429928087,0.14415014734461531,Undervalued,21.0,"lower-than-average price, strong demand"
Queens,Glendale,90.79629629629629,147.27777777777777,27.01851851851852,2.503825635294795,54,4.5195719514562995,1.2538554102192123,0.05774530065938391,0.4035007610350076,0.05536233843390879,0.14161274914297084,Undervalued,22.0,lower-than-average price
Manhattan,East Harlem,133.1987466427932,98.97314234556849,32.628469113697406,4.949719715110582,1117,4.899321885021489,1.7833441117438789,0.11408159429954809,0.27115929409744793,0.10944374646466912,0.13862326246139314,Undervalued,23.0,"lower-than-average price, strong demand"
